x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
8;8;0.0226431;0.160238;0.16183;-0.0013113;0.00130232;-0.00152801;-0.00174121;-0.00283033;0.00283033;-0.00305251;1.94376e-06;0;0.571514;0;0;0;0;0
24;8;0.00166225;0.13579;0.1358;-0.0013113;-0.029497;-0.00152801;0.00648219;0.027969;0.027969;0.00517089;0;0;0.615119;0;0;0;0;0
40;8;-0.0193186;0.111342;0.113005;-0.00126439;-0.048373;-0.00158802;0.00759058;0.046785;0.046785;0.00632618;0;0;0.597234;0;0;0;0;0
56;8;-0.0402994;0.0868935;0.0957837;-0.00193732;-0.00356153;-0.00106321;-0.027655;0.00249832;0.00249832;-0.0295924;0;0;0.562473;0;0;0;0;0
72;8;-0.0702864;0.0739675;0.102036;-2.74689e-06;0.0427572;-0.00129843;0.00789876;-0.0440556;0.0440556;0.00789601;3.99088e-05;0;0.537218;0;0;0;0;0
88;8;-0.0341144;0.0409323;0.0532846;0.00368718;0.0428549;-0.0029265;0.00672462;-0.0457814;0.0457814;0.0104118;0.000123108;0;0.4982;0;0;0;0;0
104;8;0.0306888;-0.00704913;0.0314879;0.00314788;-0.00680204;-0.00184296;0.0112606;0.00495907;0.00495907;0.0144085;0;0;0.550101;0;0;0;0;0
120;8;0.059564;0.000648846;0.0595675;0.00124793;-0.0241785;0.00387911;0.00467065;0.0280576;0.0280576;0.00591858;9.08622e-05;0;0.589056;0;0;0;0;0
136;8;0.0747475;0.105548;0.129335;0.000266506;-0.012201;0.00696136;0.00325618;0.0191624;0.0191624;0.00352269;8.27013e-05;0;0.572169;0;0;0;0;0
152;8;0.0787533;0.196923;0.212087;0.0018542;0.00113736;0.00366902;0.0102853;0.00253166;0.00253166;0.0121395;0;0;0.723541;0;0;0;0;0
168;8;0.133034;0.226563;0.262733;0.00334462;0.00211554;0.00165248;0.0111359;-0.000463062;0.000463062;0.0144806;0;0;0.723207;0;0;0;0;0
