x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
8;8;-0.108329;0.174333;0.205249;0.00280299;-0.000475898;-0.000984225;-0.000602755;-0.000508327;0.000508327;0.00220024;0;0;0.621257;0;0;0;0;0
24;8;-0.0634816;0.158585;0.170819;0.00280299;-0.0167006;-0.000984225;0.00746437;0.0157163;0.0157163;0.0102674;0;0;0.608501;0;0;0;0;0
40;8;-0.0186337;0.142837;0.144048;0.00309361;0.00704666;-0.000696339;-0.0135174;-0.007743;0.007743;-0.0104238;0;0;0.565836;0;0;0;0;0
56;8;0.0262141;0.12709;0.129765;0.00075236;0.0488096;-0.00276675;0.045427;-0.0515763;0.0515763;0.0461793;0;0;0.544634;0;0;0;0;0
72;8;0.0152631;0.0560682;0.0581086;0.000963695;0.0298941;-0.00473889;-0.00369499;-0.034633;0.034633;-0.0027313;0.000136239;0;0.56659;0;0;0;0;0
88;8;0.0632397;-0.00435356;0.0633894;0.00305873;-0.00949278;-0.00141357;-0.0261061;0.00807921;0.00807921;-0.0230474;0;0;0.594863;0;0;0;0;0
104;8;0.0925413;0.00115769;0.0925485;-0.000302335;-0.0121074;-0.00100991;-0.0554813;0.0110975;0.0110975;-0.0557837;0;0;0.741145;0;0;0;0;0
120;8;0.0571642;-0.0407885;0.0702243;-0.00257762;-0.00505743;-0.00200345;-0.0144718;0.00305398;0.00305398;-0.0170495;0;0;0.656503;0;0;0;0;0
136;8;0.0247075;-0.0415081;0.0483051;-0.00123398;0.00885478;0.00267204;0.0090417;-0.00618274;0.00618274;0.00780773;0;0;0.553993;0;0;0;0;0
152;8;0.0154726;0.0389819;0.0419403;-0.000780941;0.00601987;0.00575127;-0.0023724;-0.000268599;0.000268599;-0.00315334;0;0;0.722212;0;0;0;0;0
168;8;-0.00406783;0.126289;0.126355;-0.0012;0.00656385;0.00520359;-0.0053899;-0.00136026;0.00136026;-0.0065899;0;0;1.03219;0;0;0;0;0
184;8;-0.0230975;0.197344;0.198691;-0.00160183;0.0100387;0.00301818;0.00656858;-0.00702051;0.00702051;0.00496675;0;0;1.14694;0;0;0;0;0
200;8;-0.0534533;0.226301;0.232529;-0.00148138;0.007573;0.00182037;0.0100766;-0.00575262;0.00575262;0.0085952;0;0;0.998818;0;0;0;0;0
216;8;-0.0720607;0.259589;0.269406;-0.00166735;-0.0116775;0.00166954;-0.0126504;0.0133471;0.0133471;-0.0143177;0;0;0.580386;0;0;0;0;0
232;8;-0.111348;0.274739;0.296446;-0.00309399;-0.033224;0.000105403;-0.0332309;0.0333294;0.0333294;-0.0363249;0;0;0.574283;0;0;0;0;0
248;8;-0.166127;0.264294;0.312169;-0.00330737;-0.0313867;-0.00117834;-0.0335278;0.0302084;0.0302084;-0.0368351;0;0;0.602651;0;0;0;0;0
264;8;-0.21194;0.243701;0.322969;-0.00244309;-0.00291863;-0.000997864;0.00272323;0.00192077;0.00192077;0.000280139;0;0;1.0273;0;0;0;0;0
280;8;-0.241777;0.237528;0.338933;-0.00102353;-0.00155739;0.000308689;-0.000416368;0.00186608;0.00186608;-0.0014399;3.88587e-07;0;1.35404;0;0;0;0;0
296;8;-0.247473;0.252197;0.353335;-0.000174431;0.00407171;0.00133918;0.00164418;-0.00273253;0.00273253;0.00146975;0;0;1.25969;0;0;0;0;0
312;8;-0.253873;0.272991;0.372794;-0.000894721;0.00521636;0.000535223;0.00138533;-0.00468114;0.00468114;0.00049061;0;0;1.44835;0;0;0;0;0
328;8;-0.275214;0.270284;0.38574;-0.00129078;0.0051947;0.000126457;0.000208184;-0.00506824;0.00506824;-0.0010826;0;0;0.87104;0;0;0;0;0
344;8;-0.291918;0.279459;0.40412;-0.000932728;0.0114451;0.000420897;-0.00630072;-0.0110242;0.0110242;-0.00723345;0;0;0.761733;0;0;0;0;0
360;8;-0.304003;0.279667;0.413076;-0.000424937;0.00132621;-0.000428737;-0.00485888;-0.00175494;0.00175494;-0.00528382;0;0;0.921106;0;0;0;0;0
376;8;-0.305102;0.267248;0.405597;0.00024117;-0.00407472;-0.000885919;0.000691909;0.0031888;0.0031888;0.000933079;0;0;1.25504;0;0;0;0;0
392;8;-0.299105;0.25491;0.392992;0.000196302;-0.00627357;-0.000449453;0.00736249;0.00582412;0.00582412;0.00755879;0;0;1.17803;0;0;0;0;0
408;8;-0.299037;0.251498;0.390736;0.000174266;-0.00343589;-0.000365279;0.00246509;0.00307062;0.00307062;0.00263935;0;0;1.57602;0;0;0;0;0
424;8;-0.293169;0.239965;0.378855;0.000322056;0.000818748;-0.00110689;-0.00443297;-0.00192564;0.00192564;-0.00411091;0;0;1.89784;0;0;0;0;0
440;8;-0.291073;0.217824;0.363553;-0.000155606;0.000945406;-0.0014564;-0.000174461;-0.00240181;0.00240181;-0.000330067;1.3768e-06;0;1.60842;0;0;0;0;0
456;8;-0.297229;0.198035;0.357159;-0.000354942;0.00233201;-0.000743631;0.00232559;-0.00307564;0.00307564;0.00197064;0;0;1.32257;0;0;0;0;0
472;8;-0.301643;0.195685;0.359557;-0.000360098;0.00130724;0.000337531;-0.00584599;-0.000969712;0.000969712;-0.00620609;0;0;1.25462;0;0;0;0;0
488;8;-0.309582;0.205631;0.371652;-0.000588793;-0.0021656;0.000605614;0.00101824;0.00277121;0.00277121;0.000429448;6.65877e-07;0;1.23296;0;0;0;0;0
504;8;-0.320759;0.213786;0.385475;-0.000877876;-0.00134601;0.000600481;0.0025112;0.00194649;0.00194649;0.00163332;0;0;1.31977;0;0;0;0;0
520;8;-0.337103;0.226571;0.406168;-0.00110888;0.00303506;0.00110801;0.00243702;-0.00192705;0.00192705;0.00132814;0;0;1.34657;0;0;0;0;0
