x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
568;8;-0.0633151;0.664808;0.667816;-0.000542841;0.00024581;-0.000654402;0.00236902;-0.000900212;0.000900212;0.00182618;0;0;1.32689;0;0;0;0;0
584;8;-0.0655868;0.657638;0.6609;-4.72565e-05;-0.00202631;-0.000233502;0.00488166;0.00179281;0.00179281;0.0048344;0;0;1.55412;0;0;0;0;0
600;8;-0.0668595;0.657435;0.660826;-1.73239e-05;-0.0024416;7.36667e-05;0.000106502;0.00251526;0.00251526;8.91784e-05;1.76031e-07;0;1.31313;0;0;0;0;0
616;8;-0.0651937;0.658081;0.661303;0.000326558;0.00165676;-0.00012274;-0.00933613;-0.0017795;0.0017795;-0.00900957;0;0;1.40401;0;0;0;0;0
632;8;-0.0568437;0.654213;0.656678;0.000561399;0.00406887;-0.000176789;-0.00406449;-0.00424566;0.00424566;-0.00350309;0;0;1.33329;0;0;0;0;0
648;8;-0.0481596;0.65543;0.657197;0.000614147;0.00360361;0.000458591;0.00220785;-0.00314502;0.00314502;0.00282199;0;0;1.47892;0;0;0;0;0
664;8;-0.0383754;0.67017;0.671268;0.000450944;0.00337548;0.00141396;0.00212462;-0.00196153;0.00196153;0.00257557;0;0;1.45237;0;0;0;0;0
680;8;-0.0353636;0.697686;0.698581;-6.30111e-05;-0.00282209;0.00168711;-0.00429646;0.0045092;0.0045092;-0.00435947;2.80657e-07;0;1.16972;0;0;0;0;0
696;8;-0.0410572;0.720778;0.721946;-0.000683289;-0.00741188;0.0011677;-0.000167675;0.00857958;0.00857958;-0.000850965;8.58842e-06;0;1.359;0;0;0;0;0
712;8;-0.0575159;0.736368;0.738611;-0.00145533;-0.00319709;0.00108144;0.00213699;0.00427853;0.00427853;0.000681659;2.31257e-07;0;1.37324;0;0;0;0;0
728;8;-0.084402;0.755432;0.760132;-0.00156787;0.00324028;0.00106167;-0.00502955;-0.00217861;0.00217861;-0.00659742;0;0;1.23693;0;0;0;0;0
744;8;-0.102699;0.767286;0.774128;-0.000525078;0.00911394;0.000270564;-0.00827714;-0.00884338;0.00884338;-0.00880222;0;0;1.34759;0;0;0;0;0
760;8;-0.101491;0.764277;0.770986;0.000428255;0.00658052;-0.000489806;-0.010414;-0.00707032;0.00707032;-0.0099857;0;0;1.12605;0;0;0;0;0
776;8;-0.0934137;0.755177;0.760932;0.000352867;-0.0035783;-0.000382947;-0.0035108;0.00319535;0.00319535;-0.00315794;0;0;1.23673;0;0;0;0;0
