x [pixel];y [pixel];x-displacement [pixel];y-displacement [pixel];Displacement [pixel];du/dx [S];du/dy [S];dv/dx [S];dv/dy [S];Vorticity w_z (dv/dx - du/dy) [S];|Vorticity| [S];Divergence 2D (du/dx + dv/dy) [S];Swirling strength 2D (L_ci) [S^2];Correlation value [];Particle size [counts];Peak ratio [];Uncertainty V [pixel];Uncertainty Vx [pixel];Uncertainty Vy [pixel];Uncertainty |V| [pixel]
8;8;0.0533116;-0.108697;0.121067;0.00251868;-0.00276182;0.0038067;-0.000715324;0.00656852;0.00656852;0.00180335;7.89873e-06;0;0.514027;0;0;0;0;0
24;8;0.0936104;-0.0477896;0.105104;0.00251868;-0.0257125;0.0038067;0.0557214;0.0295192;0.0295192;0.0582401;0;0;0.474192;0;0;0;0;0
40;8;0.133909;0.0131176;0.13455;0.00287066;0.0334114;0.00410912;0.0253769;-0.0293023;0.0293023;0.0282476;0;0;0.520692;0;0;0;0;0
56;8;0.174208;0.0740249;0.189283;-4.71415e-05;0.0389025;0.00234914;-0.0120162;-0.0365534;0.0365534;-0.0120633;0;0;0.51463;0;0;0;0;0
72;8;0.146926;0.0768686;0.16582;0.000832467;0.0381569;-0.00253627;-0.0674993;-0.0406931;0.0406931;-0.0666668;0;0;0.472542;0;0;0;0;0
88;8;0.206798;0.0111833;0.2071;0.00362961;0.00122668;-0.00312499;-0.0182395;-0.00435167;0.00435167;-0.0146099;0;0;0.48816;0;0;0;0;0
104;8;0.234797;-0.00265158;0.234812;-0.000940447;-0.0257448;0.000916916;0.00544456;0.0266617;0.0266617;0.00450411;1.34137e-05;0;0.592335;0;0;0;0;0
120;8;0.180288;0.0378603;0.184221;-0.00437193;-0.0194869;0.00426966;-0.0286343;0.0237566;0.0237566;-0.0330062;0;0;0.469397;0;0;0;0;0
136;8;0.115412;0.114237;0.162388;-0.00308532;-0.0136278;0.00312493;-0.0321018;0.0167528;0.0167528;-0.0351871;0;0;0.616651;0;0;0;0;0
152;8;0.0911279;0.126514;0.155917;5.07894e-05;-0.000304686;-0.000955983;-0.0119746;-0.000651298;0.000651298;-0.0119238;0;0;0.801843;0;0;0;0;0
168;8;0.113896;0.10659;0.155993;0.00234647;0.00889926;0.00085411;0.00832052;-0.00804515;0.00804515;0.010667;0;0;0.986416;0;0;0;0;0
184;8;0.15841;0.160233;0.225318;0.00296076;0.0128279;0.00402352;0.00722991;-0.0088044;0.0088044;0.0101907;0;0;1.21767;0;0;0;0;0
200;8;0.203146;0.219998;0.299445;0.00254616;0.012234;0.00325758;0.000353746;-0.00897638;0.00897638;0.00289991;0;0;1.18462;0;0;0;0;0
216;8;0.236662;0.261267;0.352519;0.00156481;0.00373955;0.0021343;0.000400215;-0.00160525;0.00160525;0.00196503;0;0;1.10261;0;0;0;0;0
232;8;0.251053;0.289409;0.383125;0.000102184;-0.00129128;0.00131012;0.00135398;0.0026014;0.0026014;0.00145616;1.29998e-06;0;1.18471;0;0;0;0;0
248;8;0.24122;0.305734;0.389436;-0.00113755;-0.00195837;0.00106486;0.00130486;0.00302322;0.00302322;0.000167319;5.94035e-07;0;0.830908;0;0;0;0;0
264;8;0.219986;0.32419;0.391782;-0.00112334;-0.00257866;0.000886629;0.00175903;0.00346529;0.00346529;0.000635688;2.09307e-07;0;0.86952;0;0;0;0;0
280;8;0.20654;0.335065;0.393608;-0.000877244;0.000907678;0.000835141;0.00275913;-7.2537e-05;7.2537e-05;0.00188189;0;0;0.858319;0;0;0;0;0
296;8;0.189292;0.353828;0.40128;-0.00131535;-0.000304494;0.00151753;0.00263236;0.00182202;0.00182202;0.00131702;0;0;1.08441;0;0;0;0;0
312;8;0.164095;0.382487;0.416202;-0.00173989;-0.0054795;0.00191684;-0.000292558;0.00739634;0.00739634;-0.00203244;9.97962e-06;0;1.26252;0;0;0;0;0
328;8;0.13298;0.412199;0.433118;-0.00227638;-0.00827538;0.00169405;-0.00978263;0.00996942;0.00996942;-0.012059;0;0;0.925391;0;0;0;0;0
344;8;0.0900982;0.433998;0.443251;-0.00314955;-0.00880767;0.000758545;-0.000889868;0.00956622;0.00956622;-0.00403941;5.40448e-06;0;1.10866;0;0;0;0;0
360;8;0.0343791;0.440656;0.441995;-0.00355612;-0.00202326;0.00080581;0.000551581;0.00282907;0.00282907;-0.00300454;0;0;1.0012;0;0;0;0;0
376;8;-0.0199956;0.464506;0.464936;-0.00323969;0.00919142;0.00201052;-0.00471156;-0.0071809;0.0071809;-0.00795125;0;0;1.52584;0;0;0;0;0
392;8;-0.0649966;0.501549;0.505743;-0.00200718;0.00900667;0.00239191;-0.0127305;-0.00661476;0.00661476;-0.0147377;0;0;1.39108;0;0;0;0;0
408;8;-0.0828875;0.535122;0.541503;-0.00044527;-0.00357677;0.00150007;-0.0302169;0.00507684;0.00507684;-0.0306622;0;0;1.17301;0;0;0;0;0
424;8;-0.0833768;0.546335;0.55266;9.52246e-05;-0.00298409;-0.000130615;-0.0123231;0.00285347;0.00285347;-0.0122278;0;0;1.29545;0;0;0;0;0
440;8;-0.0815449;0.53478;0.540961;0.00026169;-0.00201654;-0.000958588;0.0116164;0.00105795;0.00105795;0.0118781;0;0;1.30055;0;0;0;0;0
456;8;-0.0725389;0.52389;0.528888;0.00110911;0.000109841;0.000229393;0.0139197;0.000119552;0.000119552;0.0150288;0;0;0.999999;0;0;0;0;0
472;8;-0.0464289;0.539608;0.541602;0.00192769;0.00253161;0.000729566;-0.0015689;-0.00180204;0.00180204;0.000358791;0;0;1.00763;0;0;0;0;0
488;8;-0.0153977;0.540917;0.541136;0.00170551;0.00375959;-0.000276972;-0.00730815;-0.00403657;0.00403657;-0.00560264;0;0;1.19643;0;0;0;0;0
504;8;0.00546824;0.53092;0.530948;0.000954686;0.0034904;-0.00117212;0.000326686;-0.00466252;0.00466252;0.00128137;3.99258e-06;0;1.54167;0;0;0;0;0
520;8;0.0151805;0.507566;0.507793;0.000278511;0.00331283;-0.00131687;0.0100751;-0.00462971;0.00462971;0.0103536;0;0;1.57072;0;0;0;0;0
536;8;0.0148971;0.497851;0.498074;-0.000321703;0.00141918;0.000674643;0.00744566;-0.000744534;0.000744534;0.00712396;0;0;1.21721;0;0;0;0;0
552;8;0.00655937;0.529207;0.529247;-0.000593064;-0.000321388;0.00275107;0.00298033;0.00307246;0.00307246;0.00238727;0;0;1.04934;0;0;0;0;0
568;8;-0.00173387;0.574513;0.574516;-0.000338915;0.00202806;0.00211374;-0.00606099;8.56821e-05;8.56821e-05;-0.0063999;0;0;1.44305;0;0;0;0;0
584;8;-0.00399931;0.592658;0.592671;-6.96941e-05;0.00377467;0.000652036;-0.00775326;-0.00312263;0.00312263;-0.00782295;0;0;1.32823;0;0;0;0;0
600;8;-0.00450071;0.599621;0.599638;8.44996e-05;0.00242674;0.000261427;0.00243068;-0.00216532;0.00216532;0.00251518;0;0;0.965108;0;0;0;0;0
616;8;-0.00219405;0.60488;0.604884;6.91165e-05;0.00115764;0.000656761;0.0089175;-0.000500877;0.000500877;0.00898661;0;0;1.24922;0;0;0;0;0
632;8;-0.00351572;0.622098;0.622108;-0.000269799;0.00631128;0.00151182;-0.00427252;-0.00479947;0.00479947;-0.00454232;0;0;1.56344;0;0;0;0;0
648;8;-0.00938975;0.646374;0.646442;-0.000258262;0.00723814;0.000702037;-0.00897907;-0.0065361;0.0065361;-0.00923734;0;0;1.58796;0;0;0;0;0
664;8;-0.0102648;0.641306;0.641388;0.000140567;0.0048864;-0.000974599;-0.00733288;-0.005861;0.005861;-0.00719232;0;0;1.55343;0;0;0;0;0
680;8;-0.00660055;0.623747;0.623782;8.37475e-05;0.00241701;-0.000514453;-0.00224666;-0.00293147;0.00293147;-0.00216291;0;0;1.05102;0;0;0;0;0
696;8;-0.00819101;0.6282;0.628254;-0.000119479;0.00140776;0.000622481;0.00352653;-0.000785282;0.000785282;0.00340705;0;0;1.33994;0;0;0;0;0
712;8;-0.00887876;0.640307;0.640369;8.21694e-05;0.00173778;0.000867265;0.00113638;-0.000870514;0.000870514;0.00121855;0;0;1.29449;0;0;0;0;0
728;8;-0.00555046;0.654276;0.654299;0.000238085;0.00239748;0.000892142;-0.00158577;-0.00150534;0.00150534;-0.00134769;0;0;1.30073;0;0;0;0;0
744;8;-0.00125266;0.665836;0.665838;0.000379534;0.00288047;0.000208164;-0.0015384;-0.00267231;0.00267231;-0.00115886;0;0;1.24628;0;0;0;0;0
760;8;0.00710549;0.661139;0.661178;0.000679202;0.00196254;-0.000427656;0.000251442;-0.0023902;0.0023902;0.000930644;7.9355e-07;0;1.12905;0;0;0;0;0
776;8;0.0194983;0.655249;0.655539;0.000744592;-0.00174464;-0.000259697;0.00193376;0.00148494;0.00148494;0.00267835;0;0;0.891663;0;0;0;0;0
792;8;0.0300507;0.651689;0.652381;0.000622484;-0.00195412;-0.000432258;0.00105979;0.00152186;0.00152186;0.00168227;0;0;0.95856;0;0;0;0;0
808;8;0.0393474;0.640092;0.6413;0.00053466;-0.000762173;-0.000971888;-0.00142202;-0.000209715;0.000209715;-0.000887358;0;0;0.918718;0;0;0;0;0
824;8;0.0463812;0.622875;0.624599;0.000268879;0.00213627;-0.000920411;-0.00018343;-0.00305669;0.00305669;8.54497e-05;1.9151e-06;0;0.927818;0;0;0;0;0
840;8;0.0474872;0.611341;0.613182;-0.000126861;-0.000285024;-0.000715451;0.000690453;-0.000430426;0.000430426;0.000563591;0;0;1.09463;0;0;0;0;0
856;8;0.0435442;0.5984;0.599982;-0.000232763;-0.00139004;-0.000887514;-0.000547081;0.000502527;0.000502527;-0.000779845;0;0;1.22331;0;0;0;0;0
872;8;0.0410087;0.581658;0.583102;-0.000129443;-0.00174529;-0.00126982;-0.00102866;0.000475477;0.000475477;-0.00115811;0;0;1.26125;0;0;0;0;0
888;8;0.0392439;0.555815;0.557199;-7.34288e-05;-0.0021493;-0.00214193;0.00517372;7.36769e-06;7.36769e-06;0.00510029;0;0;1.27373;0;0;0;0;0
904;8;0.0379382;0.514467;0.515864;-0.000165059;-0.00313393;-0.00277099;0.00709335;0.000362942;0.000362942;0.00692829;0;0;1.20561;0;0;0;0;0
920;8;0.0330781;0.47212;0.473278;-0.000487947;-0.00136396;-0.00215503;0.00326757;-0.000791073;0.000791073;0.00277962;0;0;1.00771;0;0;0;0;0
936;8;0.0233743;0.444131;0.444746;-0.000568085;0.00187543;-0.00194402;-0.00152773;-0.00381945;0.00381945;-0.00209582;3.41564e-06;0;1.06064;0;0;0;0;0
952;8;0.0164183;0.406897;0.407228;-0.000263381;0.00172825;-0.00256121;-0.00397055;-0.00428946;0.00428946;-0.00423393;9.90631e-07;0;1.25963;0;0;0;0;0
968;8;0.013732;0.365932;0.366189;-0.000256921;-0.000179686;-0.00223966;-0.00444848;-0.00205997;0.00205997;-0.0047054;0;0;1.38283;0;0;0;0;0
984;8;0.00650953;0.338278;0.33834;-0.000635815;-0.000457323;-0.00129296;0.00429964;-0.000835634;0.000835634;0.00366383;0;0;1.21504;0;0;0;0;0
1000;8;-0.00656746;0.325192;0.325258;-0.000979909;0.000269992;-0.000244326;0.00415068;-0.000514318;0.000514318;0.00317077;0;0;1.28811;0;0;0;0;0
1016;8;-0.0239012;0.329222;0.330088;-0.001132;0.000692027;0.000603054;0.00485646;-8.89727e-05;8.89727e-05;0.00372446;0;0;1.44739;0;0;0;0;0
1032;8;-0.041411;0.340394;0.342904;-0.000985271;0.00128119;0.00047344;0.00266938;-0.000807751;0.000807751;0.00168411;0;0;1.34359;0;0;0;0;0
1048;8;-0.0548951;0.344115;0.348466;-0.000749936;0.0020394;0.000359799;0.00113494;-0.0016796;0.0016796;0.000385003;0;0;1.35464;0;0;0;0;0
1064;8;-0.0653467;0.353436;0.359426;-0.000498948;0.000737517;0.000675226;0.00120232;-6.22909e-05;6.22909e-05;0.00070337;0;0;1.28449;0;0;0;0;0
1080;8;-0.0713994;0.364471;0.371398;-0.000305506;-0.00265779;0.000608817;-0.00143222;0.00326661;0.00326661;-0.00173773;1.30074e-06;0;1.41168;0;0;0;0;0
1096;8;-0.0776477;0.373597;0.381581;-0.000777785;-0.00261871;0.00075493;-0.000913031;0.00337364;0.00337364;-0.00169082;1.97237e-06;0;1.22815;0;0;0;0;0
1112;8;-0.0946461;0.388511;0.399873;-0.000908706;-0.000246854;0.000912869;0.000225257;0.00115972;0.00115972;-0.000683449;0;0;1.20399;0;0;0;0;0
1128;8;-0.101986;0.400812;0.413583;0.000144311;0.00174925;0.000574132;-0.00172574;-0.00117511;0.00117511;-0.00158143;0;0;1.05446;0;0;0;0;0
1144;8;-0.0916307;0.406917;0.417107;0.000793576;-0.00169845;0.000282543;0.00165471;0.001981;0.001981;0.00244829;2.94496e-07;0;1.11513;0;0;0;0;0
1160;8;-0.0812323;0.410614;0.418572;0.000372082;-0.00476776;0.000155504;0.0037159;0.00492326;0.00492326;0.00408798;0;0;1.19152;0;0;0;0;0
1176;8;-0.0809861;0.412685;0.420556;-0.000250488;-0.00431024;0.000172733;0.00284207;0.00448298;0.00448298;0.00259158;0;0;1.17665;0;0;0;0;0
1192;8;-0.0882685;0.417095;0.426333;-0.00062723;0.0023631;0.000455115;0.00111298;-0.00190799;0.00190799;0.000485745;0;0;1.17337;0;0;0;0;0
1208;8;-0.0998264;0.425596;0.437147;-0.000727882;0.00274457;0.000298436;0.00156875;-0.00244614;0.00244614;0.000840868;0;0;1.31413;0;0;0;0;0
1224;8;-0.111526;0.426523;0.440863;-0.000830589;0.00168215;8.04847e-05;0.00108944;-0.00160166;0.00160166;0.00025885;0;0;1.47556;0;0;0;0;0
1240;8;-0.127296;0.430808;0.449222;-0.00118311;0.0028103;0.000585513;0.00123167;-0.00222478;0.00222478;4.85558e-05;0;0;1.16465;0;0;0;0;0
1256;8;-0.148551;0.44334;0.467566;-0.00137675;0.000664843;0.000597471;0.00198972;-6.73719e-05;6.73719e-05;0.00061297;0;0;1.02227;0;0;0;0;0
1272;8;-0.168865;0.447718;0.478505;-0.0010246;-0.00603303;7.82159e-05;0.000371698;0.00611125;0.00611125;-0.000652897;0;0;1.11476;0;0;0;0;0
